quarter_date,quarter,year,quarter_num,state_code,state_name,latitude,longitude,wage_index,inflation_rate,wage_growth,real_wage_growth,food,housing,transport
2023-12-01,2023 Q4,2023,4,NSW,New South Wales,-33.8688,151.2093,148.8,0.6,0.9,0.3,0.5,1.0,-0.1
2023-12-01,2023 Q4,2023,4,VIC,Victoria,-37.8136,144.9631,149.9,0.6,0.9,0.3,0.5,1.0,-0.1
2023-12-01,2023 Q4,2023,4,QLD,Queensland,-27.4698,153.0251,150.0,0.6,0.9,0.3,0.5,1.0,-0.1
2023-12-01,2023 Q4,2023,4,SA,South Australia,-34.9285,138.6007,149.6,0.6,0.9,0.3,0.5,1.0,-0.1
2023-12-01,2023 Q4,2023,4,WA,Western Australia,-31.9505,115.8605,148.4,0.6,0.9,0.3,0.5,1.0,-0.1
2023-12-01,2023 Q4,2023,4,TAS,Tasmania,-42.8821,147.3272,152.0,0.6,0.9,0.3,0.5,1.0,-0.1
2023-12-01,2023 Q4,2023,4,NT,Northern Territory,-12.4634,130.8456,148.9,0.6,0.9,0.3,0.5,1.0,-0.1
2023-12-01,2023 Q4,2023,4,ACT,Australian Capital Territory,-35.2809,149.13,146.5,0.6,0.9,0.3,0.5,1.0,-0.1
2024-03-01,2024 Q1,2024,1,NSW,New South Wales,-33.8688,151.2093,149.7,0.9,0.6,-0.3,0.9,0.8,0.5
2024-03-01,2024 Q1,2024,1,VIC,Victoria,-37.8136,144.9631,150.8,0.9,0.6,-0.3,0.9,0.8,0.5
2024-03-01,2024 Q1,2024,1,QLD,Queensland,-27.4698,153.0251,151.0,0.9,0.6,-0.3,0.9,0.8,0.5
2024-03-01,2024 Q1,2024,1,SA,South Australia,-34.9285,138.6007,150.2,0.9,0.6,-0.3,0.9,0.8,0.5
2024-03-01,2024 Q1,2024,1,WA,Western Australia,-31.9505,115.8605,149.3,0.9,0.6,-0.3,0.9,0.8,0.5
2024-03-01,2024 Q1,2024,1,TAS,Tasmania,-42.8821,147.3272,154.5,0.9,0.6,-0.3,0.9,0.8,0.5
2024-03-01,2024 Q1,2024,1,NT,Northern Territory,-12.4634,130.8456,149.5,0.9,0.6,-0.3,0.9,0.8,0.5
