quarter_date,quarter,year,quarter_num,state_code,state_name,latitude,longitude,wage_index,inflation_rate,wage_growth,real_wage_growth,food,housing,transport
2015-12-01,2015 Q4,2015,4,NSW,New South Wales,-33.8688,151.2093,122.1,0.4,0.4,0.0,0.3,0.1,-1.3
2015-12-01,2015 Q4,2015,4,VIC,Victoria,-37.8136,144.9631,122.9,0.4,0.4,0.0,0.3,0.1,-1.3
2015-12-01,2015 Q4,2015,4,QLD,Queensland,-27.4698,153.0251,122.6,0.4,0.4,0.0,0.3,0.1,-1.3
2015-12-01,2015 Q4,2015,4,SA,South Australia,-34.9285,138.6007,123.0,0.4,0.4,0.0,0.3,0.1,-1.3
2015-12-01,2015 Q4,2015,4,WA,Western Australia,-31.9505,115.8605,124.5,0.4,0.4,0.0,0.3,0.1,-1.3
2015-12-01,2015 Q4,2015,4,TAS,Tasmania,-42.8821,147.3272,122.2,0.4,0.4,0.0,0.3,0.1,-1.3
2015-12-01,2015 Q4,2015,4,NT,Northern Territory,-12.4634,130.8456,124.0,0.4,0.4,0.0,0.3,0.1,-1.3
2015-12-01,2015 Q4,2015,4,ACT,Australian Capital Territory,-35.2809,149.13,121.4,0.4,0.4,0.0,0.3,0.1,-1.3
2016-03-01,2016 Q1,2016,1,NSW,New South Wales,-33.8688,151.2093,122.6,-0.2,0.4,0.6,-0.2,0.2,-2.6
2016-03-01,2016 Q1,2016,1,VIC,Victoria,-37.8136,144.9631,123.4,-0.2,0.4,0.6,-0.2,0.2,-2.6
2016-03-01,2016 Q1,2016,1,QLD,Queensland,-27.4698,153.0251,123.1,-0.2,0.4,0.6,-0.2,0.2,-2.6
2016-03-01,2016 Q1,2016,1,SA,South Australia,-34.9285,138.6007,123.5,-0.2,0.4,0.6,-0.2,0.2,-2.6
2016-03-01,2016 Q1,2016,1,WA,Western Australia,-31.9505,115.8605,125.1,-0.2,0.4,0.6,-0.2,0.2,-2.6
2016-03-01,2016 Q1,2016,1,TAS,Tasmania,-42.8821,147.3272,123.0,-0.2,0.4,0.6,-0.2,0.2,-2.6
2016-03-01,2016 Q1,2016,1,NT,Northern Territory,-12.4634,130.8456,124.3,-0.2,0.4,0.6,-0.2,0.2,-2.6
2016-03-01,2016 Q1,2016,1,ACT,Australian Capital Territory,-35.2809,149.13,122.0,-0.2,0.4,0.6,-0.2,0.2,-2.6
2016-06-01,2016 Q2,2016,2,NSW,New South Wales,-33.8688,151.2093,123.1,0.4,0.4,0.0,-0.2,0.4,1.1
2016-06-01,2016 Q2,2016,2,VIC,Victoria,-37.8136,144.9631,123.9,0.4,0.4,0.0,-0.2,0.4,1.1
2016-06-01,2016 Q2,2016,2,QLD,Queensland,-27.4698,153.0251,123.4,0.4,0.4,0.0,-0.2,0.4,1.1
2016-06-01,2016 Q2,2016,2,SA,South Australia,-34.9285,138.6007,123.8,0.4,0.4,0.0,-0.2,0.4,1.1
2016-06-01,2016 Q2,2016,2,WA,Western Australia,-31.9505,115.8605,125.3,0.4,0.4,0.0,-0.2,0.4,1.1
2016-06-01,2016 Q2,2016,2,TAS,Tasmania,-42.8821,147.3272,123.5,0.4,0.4,0.0,-0.2,0.4,1.1
2016-06-01,2016 Q2,2016,2,NT,Northern Territory,-12.4634,130.8456,124.6,0.4,0.4,0.0,-0.2,0.4,1.1
2016-06-01,2016 Q2,2016,2,ACT,Australian Capital Territory,-35.2809,149.13,122.6,0.4,0.4,0.0,-0.2,0.4,1.1
2016-09-01,2016 Q3,2016,3,NSW,New South Wales,-33.8688,151.2093,124.2,0.7,0.7,0.0,1.7,1.0,-0.6
2016-09-01,2016 Q3,2016,3,VIC,Victoria,-37.8136,144.9631,124.7,0.7,0.7,0.0,1.7,1.0,-0.6
2016-09-01,2016 Q3,2016,3,QLD,Queensland,-27.4698,153.0251,124.3,0.7,0.7,0.0,1.7,1.0,-0.6
2016-09-01,2016 Q3,2016,3,SA,South Australia,-34.9285,138.6007,125.0,0.7,0.7,0.0,1.7,1.0,-0.6
2016-09-01,2016 Q3,2016,3,WA,Western Australia,-31.9505,115.8605,126.0,0.7,0.7,0.0,1.7,1.0,-0.6
2016-09-01,2016 Q3,2016,3,TAS,Tasmania,-42.8821,147.3272,124.8,0.7,0.7,0.0,1.7,1.0,-0.6
2016-09-01,2016 Q3,2016,3,NT,Northern Territory,-12.4634,130.8456,126.0,0.7,0.7,0.0,1.7,1.0,-0.6
2016-09-01,2016 Q3,2016,3,ACT,Australian Capital Territory,-35.2809,149.13,123.2,0.7,0.7,0.0,1.7,1.0,-0.6
2016-12-01,2016 Q4,2016,4,NSW,New South Wales,-33.8688,151.2093,124.7,0.5,0.4,-0.1,0.6,0.3,1.7
2016-12-01,2016 Q4,2016,4,VIC,Victoria,-37.8136,144.9631,125.2,0.5,0.4,-0.1,0.6,0.3,1.7
2016-12-01,2016 Q4,2016,4,QLD,Queensland,-27.4698,153.0251,125.0,0.5,0.4,-0.1,0.6,0.3,1.7
2016-12-01,2016 Q4,2016,4,SA,South Australia,-34.9285,138.6007,125.7,0.5,0.4,-0.1,0.6,0.3,1.7
2016-12-01,2016 Q4,2016,4,WA,Western Australia,-31.9505,115.8605,126.2,0.5,0.4,-0.1,0.6,0.3,1.7
2016-12-01,2016 Q4,2016,4,TAS,Tasmania,-42.8821,147.3272,125.1,0.5,0.4,-0.1,0.6,0.3,1.7
