quarter_date,quarter,year,quarter_num,state_code,state_name,latitude,longitude,wage_index,inflation_rate,wage_growth,real_wage_growth,food,housing,transport
1997-12-01,1997 Q4,1997,4,NSW,New South Wales,-33.8688,151.2093,67.2,0.2,0.9,0.7,0.3,-1.8,-0.3
1997-12-01,1997 Q4,1997,4,VIC,Victoria,-37.8136,144.9631,68.0,0.2,0.9,0.7,0.3,-1.8,-0.3
1997-12-01,1997 Q4,1997,4,QLD,Queensland,-27.4698,153.0251,67.2,0.2,0.9,0.7,0.3,-1.8,-0.3
1997-12-01,1997 Q4,1997,4,SA,South Australia,-34.9285,138.6007,67.4,0.2,0.9,0.7,0.3,-1.8,-0.3
1997-12-01,1997 Q4,1997,4,WA,Western Australia,-31.9505,115.8605,64.9,0.2,0.9,0.7,0.3,-1.8,-0.3
1997-12-01,1997 Q4,1997,4,TAS,Tasmania,-42.8821,147.3272,68.2,0.2,0.9,0.7,0.3,-1.8,-0.3
1997-12-01,1997 Q4,1997,4,NT,Northern Territory,-12.4634,130.8456,68.8,0.2,0.9,0.7,0.3,-1.8,-0.3
1997-12-01,1997 Q4,1997,4,ACT,Australian Capital Territory,-35.2809,149.13,66.9,0.2,0.9,0.7,0.3,-1.8,-0.3
1998-03-01,1998 Q1,1998,1,NSW,New South Wales,-33.8688,151.2093,67.9,0.3,0.7,0.4,0.8,-0.8,-0.9
1998-03-01,1998 Q1,1998,1,VIC,Victoria,-37.8136,144.9631,68.6,0.3,0.7,0.4,0.8,-0.8,-0.9
1998-03-01,1998 Q1,1998,1,QLD,Queensland,-27.4698,153.0251,67.7,0.3,0.7,0.4,0.8,-0.8,-0.9
1998-03-01,1998 Q1,1998,1,SA,South Australia,-34.9285,138.6007,67.8,0.3,0.7,0.4,0.8,-0.8,-0.9
1998-03-01,1998 Q1,1998,1,WA,Western Australia,-31.9505,115.8605,65.6,0.3,0.7,0.4,0.8,-0.8,-0.9
1998-03-01,1998 Q1,1998,1,TAS,Tasmania,-42.8821,147.3272,68.7,0.3,0.7,0.4,0.8,-0.8,-0.9
1998-03-01,1998 Q1,1998,1,NT,Northern Territory,-12.4634,130.8456,69.2,0.3,0.7,0.4,0.8,-0.8,-0.9
1998-03-01,1998 Q1,1998,1,ACT,Australian Capital Territory,-35.2809,149.13,67.5,0.3,0.7,0.4,0.8,-0.8,-0.9
1998-06-01,1998 Q2,1998,2,NSW,New South Wales,-33.8688,151.2093,68.2,0.6,0.6,0.0,0.8,1.2,-0.1
1998-06-01,1998 Q2,1998,2,VIC,Victoria,-37.8136,144.9631,68.9,0.6,0.6,0.0,0.8,1.2,-0.1
1998-06-01,1998 Q2,1998,2,QLD,Queensland,-27.4698,153.0251,68.0,0.6,0.6,0.0,0.8,1.2,-0.1
1998-06-01,1998 Q2,1998,2,SA,South Australia,-34.9285,138.6007,68.1,0.6,0.6,0.0,0.8,1.2,-0.1
1998-06-01,1998 Q2,1998,2,WA,Western Australia,-31.9505,115.8605,66.0,0.6,0.6,0.0,0.8,1.2,-0.1
1998-06-01,1998 Q2,1998,2,TAS,Tasmania,-42.8821,147.3272,68.9,0.6,0.6,0.0,0.8,1.2,-0.1
